Serial Number,Success,Status,MAC Address,Part Number,Device Model,Device Status,Workspace ID,Folder,Rule,Error,Order Obj Key,Order Category,Order POS ID,Order Serial Number,Order MAC Address,Order Bill To Name,Order End User Name,Order Part Number,Order Part Description,Order Invoice Date,Order Ship Date,Order Qty,Order Ext Cost,Order Invoice No,Order Order No,Order Customer PO,Order Line No,Order Line Type,Order Zip Code,Order Source,Order Status,Order Party ID,Order Country Party ID,Order Global Party ID,Order Created At,Order Updated At
"CNPBKPP2K0",True,"Found","34:3A:20:C8:F1:72","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977608","network","7100832648","CNPBKPP2K0","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977608","0","","","IN","complete","","","","2023-03-02T19:35:29.673138Z","2023-03-02T19:35:30.836904Z"
"CNPBKPP2K1",True,"Found","34:3A:20:C9:02:B4","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977609","network","7100832648","CNPBKPP2K1","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977609","0","","","IN","complete","","","","2023-03-02T19:35:29.691437Z","2023-03-02T19:35:30.824122Z"
"CNPBKPP2KF",True,"Found","34:3A:20:C9:04:70","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977618","network","7100832648","CNPBKPP2KF","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977618","0","","","IN","complete","","","","2023-03-02T19:35:30.084350Z","2023-03-02T19:35:31.128226Z"
"CNPBKPP2KL",True,"Found","34:3A:20:C8:D0:02","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977623","network","7100832648","CNPBKPP2KL","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977623","0","","","IN","complete","","","","2023-03-02T19:35:30.244747Z","2023-03-02T19:35:31.367447Z"
"CNPBKPP2KM",True,"Found","34:3A:20:C8:B8:52","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977624","network","7100832648","CNPBKPP2KM","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977624","0","","","IN","complete","","","","2023-03-02T19:35:30.260352Z","2023-03-02T19:35:31.422967Z"
"CNPBKPP2KP",True,"Found","34:3A:20:C9:24:2C","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977626","network","7100832648","CNPBKPP2KP","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977626","0","","","IN","complete","","","","2023-03-02T19:35:30.326877Z","2023-03-02T19:35:31.541408Z"
"CNPBKPP2KR",True,"Found","34:3A:20:C8:B1:70","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977628","network","7100832648","CNPBKPP2KR","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977628","0","","","IN","complete","","","","2023-03-02T19:35:30.364617Z","2023-03-02T19:35:31.568717Z"
"CNPBKPP2KS",True,"Found","34:3A:20:C8:BF:F0","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977629","network","7100832648","CNPBKPP2KS","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977629","0","","","IN","complete","","","","2023-03-02T19:35:30.440718Z","2023-03-02T19:35:31.599688Z"
"CNPBKPP2L3",True,"Found","34:3A:20:C9:09:38","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977638","network","7100832648","CNPBKPP2L3","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977638","0","","","IN","complete","","","","2023-03-02T19:35:30.752909Z","2023-03-02T19:35:31.939605Z"
"CNPBKPP2LB",True,"Found","34:3A:20:C8:E3:4A","R2H28A","AP-505-RW","PROVISIONED","54a12dce025911edab7356d5168b4204","athena-f-ff3f5fca025a11ed90daeeb0d210c6fe","athena-r-ff3f5fca025a11ed90daeeb0d210c6fe","","PDW_SHIP_38977641","network","7100832648","CNPBKPP2LB","","","CIMIC ADMIN SERVICES PTY LIMITED","R2H28A","Aruba AP-505 (RW) Unified AP","2022-09-30 12:00:00","2022-10-05 12:00:00","","0","","","PDW_SHIP_38977641","0","","","IN","complete","","","","2023-03-02T19:36:55.140943Z","2023-03-02T19:36:56.389181Z"
