key,id,tier,status,end_date
EF5D9F2DE344C4B15B,c24b5923-1c8b-5c59-83c6-006a4f2d69eb,ADVANCED_SWITCH_6300,N/A,N/A
E5C89F38E73024FDC8,c4c9ac46-b99d-59f8-a523-83f1bd8f0031,ADVANCED_91XX_SEC,N/A,N/A
E343742F0B8FD4EE88,c61e6fa0-525d-5fa4-9922-7aeb6fa1bd57,ADVANCED_SWITCH_6400,N/A,N/A
EB2EA47101E094478B,ca29bb8a-a89c-5dbf-b5e4-e691bca5506a,FOUNDATION_AP,N/A,N/A
EF43167FEB63D470AB,ced5ef56-fdac-56b0-b9dc-8dc3bb5aaeae,WLAN_ADVANCED_90XX_SEC,N/A,N/A
E24596C4E02EF46BCA,cef20137-95f6-5f3b-9da8-65d9ae6f732e,ADVANCED_SWITCH_6100,N/A,N/A
EB6C0A0E548F34029B,d60a8ed3-4d8a-5588-81b5-651b85cb0747,ADVANCED_SWITCH_6100,N/A,N/A
ED5D2B35D32F54599B,da994e8e-ac0a-574a-b8c7-47deb43c130d,ADVANCED_SWITCH_6300,N/A,N/A
E5EF0F2144F6C4E308,e30fe5fc-6ba2-5e63-95a5-a503592898b2,ADVANCED_SWITCH_6100,N/A,N/A
ED673FDF790AA4F9FA,eb85cf43-0689-5b18-8b0d-47884d7d5ff4,ADVANCED_SWITCH_6200,N/A,N/A
E1A8C390B60624BA2B,eca99228-3337-5d32-a07c-9b5188d1db18,VGW_500M,N/A,N/A
E2B829926E86B463C8,f031e1e1-fd0b-50b4-b1d7-318ba678b91f,FOUNDATION_AP,N/A,N/A
E4D808BC35C8149509,f6e3ee10-4d91-5b21-bb7e-7ea40fd8477e,ADVANCED_SWITCH_6100,N/A,N/A
EB6BD1AD09F4046F59,f97c9915-638b-59ad-9531-177fce9c0253,ADVANCE_72XX,N/A,N/A
EF41247E942934BCD8,fa7c83ab-42a3-5b96-bc19-b62bc02f68c9,ADVANCED_SWITCH_6100,N/A,N/A
E3681616368214FB59,fe968150-10a9-5a83-b591-9ab9ee7b4941,FOUNDATION_AP,N/A,N/A
ECF5B274470904FDBB,ffe54ee0-822e-5a05-912b-f3b4a0d15d3b,ADVANCE_70XX,N/A,N/A
